title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
"""Buy The Game, I Have a Gun"" -Sheesh-Man",PlayStation 4,Kimulator's Films inc.,"['Adventure', 'General']",,"Jan 29, 2023",,0,No score yet,0,0,1,0.0,No user score yet,0.0,0.0,1.0,0.0,2023-01-29
#Funtime,PlayStation 4,The Quantum Astrophysicists Guild,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Jul 16, 2020",,0,No score yet,1,0,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2020-07-16
#KILLALLZOMBIES,PlayStation 4,Beatshapers,"['Action', 'Shooter', 'Third-Person', ""Shoot-'Em-Up"", 'Sci-Fi', 'Top-Down']",T,"Oct 28, 2014",,63,Mixed or average reviews,0,6,0,6.6,Mixed or average reviews,10.0,5.0,4.0,66.0,2014-10-28
#SinucaAttack,PlayStation 4,EastAsiaSoft,"['Puzzle', 'Action']",E,"Feb 10, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-02-10
'n Verlore Verstand,PlayStation 4,Skobbejak Games,"['Adventure', '3D', 'First-Person']",E,"Jun 12, 2018",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2018-06-12
.hack//G.U. Last Recode,PlayStation 4,CyberConnect2,"['Miscellaneous', 'Compilation']",T,"Nov  3, 2017",,76,Generally favorable reviews,14,7,0,8.1,Generally favorable reviews,56.0,8.0,7.0,81.0,2017-11-03
0 Degrees,PlayStation 4,EastAsiaSoft,"['Action', 'Puzzle', 'Platformer', '2D']",E,"May 19, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-05-19
10 Second Ninja X,PlayStation 4,GameDesignDan,"['Action', 'Platformer', '2D']",T,"Jul 19, 2016",,76,Generally favorable reviews,11,5,0,5.5,Mixed or average reviews,9.0,7.0,7.0,55.0,2016-07-19
1000 Top Rated,PlayStation 4,Top Rated,"['Miscellaneous', 'Puzzle', 'General', 'Party / Minigame']",E,"Jun 27, 2017",,0,No score yet,0,0,0,1.6,Overwhelming dislike,0.0,1.0,4.0,16.0,2017-06-27
1001 Spikes,PlayStation 4,Nicalis,"['Action', 'Platformer', 'Platformer', '2D', '2D']",T,"Jun  3, 2014",,78,Generally favorable reviews,6,2,0,6.5,Mixed or average reviews,21.0,7.0,9.0,65.0,2014-06-03
